,Months,State/UnionTerritory,Confirmed
162,2020-07,Odisha,499757
163,2020-07,Puducherry,53921
164,2020-07,Punjab,290423
165,2020-07,Rajasthan,848812
166,2020-07,Sikkim,8657
167,2020-07,Tamil Nadu,4863048
168,2020-07,Telengana,1205706
169,2020-07,Tripura,80944
170,2020-07,Uttar Pradesh,1396403
171,2020-07,Uttarakhand,133904
172,2020-07,West Bengal,1178752
173,2020-08,Andaman and Nicobar Islands,63866
174,2020-08,Andhra Pradesh,8700021
175,2020-08,Arunachal Pradesh,82912
176,2020-08,Assam,2281592
177,2020-08,Bihar,3003495
178,2020-08,Chandigarh,68226
179,2020-08,Chhattisgarh,513726
180,2020-08,Dadra and Nagar Haveli and Daman and Diu,55535
181,2020-08,Delhi,4724139
182,2020-08,Goa,345383
183,2020-08,Gujarat,2410139
184,2020-08,Haryana,1469141
185,2020-08,Himachal Pradesh,126203
186,2020-08,Jammu and Kashmir,876217
187,2020-08,Jharkhand,719086
188,2020-08,Karnataka,6889574
189,2020-08,Kerala,1399347
190,2020-08,Ladakh,60559
191,2020-08,Madhya Pradesh,1407495
192,2020-08,Maharashtra,18227851
193,2020-08,Manipur,135066
194,2020-08,Meghalaya,44425
195,2020-08,Mizoram,23052
196,2020-08,Nagaland,97243
197,2020-08,Odisha,1886608
198,2020-08,Puducherry,242151
199,2020-08,Punjab,991260
200,2020-08,Rajasthan,1870371
201,2020-08,Sikkim,34496
202,2020-08,Tamil Nadu,10309676
203,2020-08,Telengana,2855205
204,2020-08,Tripura,233875
205,2020-08,Uttar Pradesh,4685850
206,2020-08,Uttarakhand,378271
207,2020-08,West Bengal,3537564
208,2020-09,Andaman and Nicobar Islands,105810
209,2020-09,Andhra Pradesh,17176750
210,2020-09,Arunachal Pradesh,197031
211,2020-09,Assam,4335647
212,2020-09,Bihar,4801561
213,2020-09,Chandigarh,248778
214,2020-09,Chhattisgarh,2092826
215,2020-09,Dadra and Nagar Haveli and Daman and Diu,82607
216,2020-09,Delhi,6731275
217,2020-09,Goa,760198
218,2020-09,Gujarat,3472762
219,2020-09,Haryana,2903174
220,2020-09,Himachal Pradesh,306951
221,2020-09,Jammu and Kashmir,1670994
222,2020-09,Jharkhand,1898394
223,2020-09,Karnataka,14091783
224,2020-09,Kerala,3570633
225,2020-09,Ladakh,103672
226,2020-09,Madhya Pradesh,2795410
227,2020-09,Maharashtra,32562680
228,2020-09,Manipur,246402
229,2020-09,Meghalaya,118168
230,2020-09,Mizoram,43451
231,2020-09,Nagaland,150352
232,2020-09,Odisha,4745144
233,2020-09,Puducherry,617996
234,2020-09,Punjab,2505864
235,2020-09,Rajasthan,3175975
236,2020-09,Sikkim,67229
237,2020-09,Tamil Nadu,15325605
238,2020-09,Telengana,4834626
239,2020-09,Tripura,587855
240,2020-09,Uttar Pradesh,9533193
241,2020-09,Uttarakhand,1020048
242,2020-09,West Bengal,6232914
243,2020-10,Andaman and Nicobar Islands,126128
244,2020-10,Andhra Pradesh,23761413
245,2020-10,Arunachal Pradesh,392909
246,2020-10,Assam,6094054
247,2020-10,Bihar,6219110
248,2020-10,Chandigarh,413597
249,2020-10,Chhattisgarh,4703616
250,2020-10,Dadra and Nagar Haveli and Daman and Diu,98092
251,2020-10,Delhi,10043689
252,2020-10,Goa,1215357
253,2020-10,Gujarat,4823146
254,2020-10,Haryana,4547489
255,2020-10,Himachal Pradesh,566826
